"ProteinGroup","ProteinName","Genes","UniprotID"
"P00742","FA10_HUMAN","F10","P00742"
"P40261","NNMT_HUMAN","NNMT","P40261"
"O95395","GCNT3_HUMAN","GCNT3","O95395"
"Q9BUB5","MKNK1_HUMAN","MKNK1","Q9BUB5"
"Q6QNY0","BL1S3_HUMAN","BLOC1S3","Q6QNY0"
"Q2TAA2","IAH1_HUMAN","IAH1","Q2TAA2"
"Q7Z3K3","POGZ_HUMAN","POGZ","Q7Z3K3"
"O60762","DPM1_HUMAN","DPM1","O60762"
"Q1CS68","RPOBC_HELPH","rpoBC","Q9ZK23;O25806;B2UUV9;Q1CS68"
"Q6P6B1","ERIC5_HUMAN","ERICH5","Q6P6B1"
"Q9Y376","CAB39_HUMAN","CAB39","Q9Y376"
"Q13363","CTBP1_HUMAN","CTBP1","Q13363"
"Q9NZK5","ADA2_HUMAN","ADA2","Q9NZK5"
"P50225","ST1A1_HUMAN","SULT1A1","P50225;P50226"
"Q15904","VAS1_HUMAN","ATP6AP1","Q15904"
"P55735","SEC13_HUMAN","SEC13","P55735"
"Q04837","SSBP_HUMAN","SSBP1","Q04837"
"P16152","CBR1_HUMAN","CBR1","P16152"
"O95678;P02538;P04259;P13647;P48668;Q14CN4","K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C72_HUMAN;K2C75_HUMAN","KRT5;KRT6A;KRT6B;KRT6C;KRT72;KRT75","P13647;P04259;O95678;P48668;Q14CN4;P02538"
"P13647","K2C5_HUMAN","KRT5","P13647;O95678"
"P02538;P04259;Q14CN4","K2C6A_HUMAN;K2C6B_HUMAN;K2C72_HUMAN","KRT6A;KRT6B;KRT72","P04259;P48668;Q14CN4;P02538"
"Q9UNH7","SNX6_HUMAN","SNX6","Q9UNH7"
"P35908","K22E_HUMAN","KRT2","P35908"
"Q9UKM7","MA1B1_HUMAN","MAN1B1","Q9UKM7"
"Q9BW27","NUP85_HUMAN","NUP85","Q9BW27"
"Q86XP6","GKN2_HUMAN","GKN2","Q86XP6"
"Q13405","RM49_HUMAN","MRPL49","Q13405"
"Q96BW9","TAM41_HUMAN","TAMM41","Q96BW9"
"P48426;P78356","PI42A_HUMAN;PI42B_HUMAN","PIP4K2A;PIP4K2B","P48426;P78356"
"Q99571","P2RX4_HUMAN","P2RX4","Q99571"
"Q13619;Q13620","CUL4A_HUMAN;CUL4B_HUMAN","CUL4A;CUL4B","Q13620;Q13619"
"Q8NEN9","PDZD8_HUMAN","PDZD8","Q8NEN9"
"Q9H0V9","LMA2L_HUMAN","LMAN2L","Q9H0V9"
"P61353","RL27_HUMAN","RPL27","P61353"
"P25398","RS12_HUMAN","RPS12","P25398"
"Q96HY7","DHTK1_HUMAN","DHTKD1","Q96HY7"
"P33402","GCYA2_HUMAN","GUCY1A2","P33402"
"P20702","ITAX_HUMAN","ITGAX","P20702"
"P48730;P49674","KC1D_HUMAN;KC1E_HUMAN","CSNK1D;CSNK1E","P48730;P49674"
"O75116;Q13464","ROCK1_HUMAN;ROCK2_HUMAN","ROCK1;ROCK2","O75116;Q13464"
"P49137;Q16644","MAPK2_HUMAN;MAPK3_HUMAN","MAPKAPK2;MAPKAPK3","Q16644;P49137"
"P36507;Q02750","MP2K1_HUMAN;MP2K2_HUMAN","MAP2K1;MAP2K2","Q02750;P36507"
"P46734","MP2K3_HUMAN","MAP2K3","P46734"
"Q86YQ8","CPNE8_HUMAN","CPNE8","Q86YQ8"
"Q13641","TPBG_HUMAN","TPBG","Q13641"
"Q7Z5R6","AB1IP_HUMAN","APBB1IP","Q7Z5R6"
"P33176","KINH_HUMAN","KIF5B","P33176;O60282"
"Q9BY66","KDM5D_HUMAN","KDM5D","Q9BY66"
"Q969Y2","GTPB3_HUMAN","GTPBP3","Q969Y2"
"Q9GZZ1","NAA50_HUMAN","NAA50","Q9GZZ1"
"P13667;P30101","PDIA3_HUMAN;PDIA4_HUMAN","PDIA3;PDIA4","P13667;P30101"
"Q8TCB0","IFI44_HUMAN","IFI44","Q8TCB0"
"Q6P589","TP8L2_HUMAN","TNFAIP8L2","Q6P589"
"P41235","HNF4A_HUMAN","HNF4A","P41235"
"P36959;Q9P2T1","GMPR1_HUMAN;GMPR2_HUMAN","GMPR;GMPR2","P36959;Q9P2T1"
"Q9H4G0","E41L1_HUMAN","EPB41L1","Q9H4G0"
"Q86UW7","CAPS2_HUMAN","CADPS2","Q86UW7"
"Q96S86","HPLN3_HUMAN","HAPLN3","Q96S86"
"Q6PEY2;Q9BQE3","TBA1C_HUMAN;TBA3E_HUMAN","TUBA1C;TUBA3E","Q71U36;Q9BQE3;P0DPH7;P0DPH8;P68363;Q6PEY2"
"Q86SF2","GALT7_HUMAN","GALNT7","Q86SF2"
"Q9BRK3","MXRA8_HUMAN","MXRA8","Q9BRK3"
"Q80925","VL2_HPV48","L2","Q80925"
"P55157","MTP_HUMAN","MTTP","P55157"
"Q15185","TEBP_HUMAN","PTGES3","Q15185"
"P11171","EPB41_HUMAN","EPB41","P11171"
"Q9HCE1","MOV10_HUMAN","MOV10","Q9HCE1"
"Q86U86","PB1_HUMAN","PBRM1","Q86U86"
"Q9H019","MFR1L_HUMAN","MTFR1L","Q9H019"
"Q969E4","TCAL3_HUMAN","TCEAL3","Q5H9L2;Q969E4;Q6IPX3"
"Q9BRT6","LLPH_HUMAN","LLPH","Q9BRT6"
"P62136;P62140","PP1A_HUMAN;PP1B_HUMAN","PPP1CA;PPP1CB","P62140;P62136"
"Q6VY07","PACS1_HUMAN","PACS1","Q6VY07"
"P31483","TIA1_HUMAN","TIA1","P31483"
"Q8TEW0","PARD3_HUMAN","PARD3","Q8TEW0"
"Q8N6T3","ARFG1_HUMAN","ARFGAP1","Q8N6T3"
"Q9BY67","CADM1_HUMAN","CADM1","Q9BY67"
"P17948","VGFR1_HUMAN","FLT1","P17948"
"Q9UKX5","ITA11_HUMAN","ITGA11","Q9UKX5"
"Q9Y6W5","WASF2_HUMAN","WASF2","Q9Y6W5"
"P05771;P17252","KPCA_HUMAN;KPCB_HUMAN","PRKCA;PRKCB","P05771;P17252"
"Q5VYS8","TUT7_HUMAN","TUT7","Q5VYS8"
"P00747","PLMN_HUMAN","PLG","Q15195;P00747"
"Q6ZNJ1","NBEL2_HUMAN","NBEAL2","Q6ZNJ1"
"Q8IWJ2","GCC2_HUMAN","GCC2","Q8IWJ2"
"P07602","SAP_HUMAN","PSAP","P07602"
"O14874","BCKD_HUMAN","BCKDK","O14874"
"Q02218;Q9ULD0","ODO1_HUMAN;OGDHL_HUMAN","OGDH;OGDHL","Q9ULD0;Q02218"
"Q9Y333","LSM2_HUMAN","LSM2","Q9Y333"
"A0AV96","RBM47_HUMAN","RBM47","A0AV96"
"Q96N67","DOCK7_HUMAN","DOCK7","Q96N67"
"P20701","ITAL_HUMAN","ITGAL","P20701"
"P08218","CEL2B_HUMAN","CELA2B","P08218"
"P08217","CEL2A_HUMAN","CELA2A","P08217"
"P31150;P50395","GDIA_HUMAN;GDIB_HUMAN","GDI1;GDI2","P50395;P31150"
"P28068","DMB_HUMAN","HLA-DMB","P28068"
"Q86WV1","SKAP1_HUMAN","SKAP1","Q86WV1"
"Q86SX6","GLRX5_HUMAN","GLRX5","Q86SX6"
"P00738","HPT_HUMAN","HP","P00738"
"Q15691","MARE1_HUMAN","MAPRE1","Q15691"
"Q12792","TWF1_HUMAN","TWF1","Q12792"
"P49585","PCY1A_HUMAN","PCYT1A","Q9Y5K3;P49585"
"Q71U36","TBA1A_HUMAN","TUBA1A","Q71U36;P68363"
"Q92820","GGH_HUMAN","GGH","Q92820"
"Q08830","FGL1_HUMAN","FGL1","Q08830"
"P09651","ROA1_HUMAN","HNRNPA1","P09651;Q32P51;A0A2R8Y4L2"
"P00736","C1R_HUMAN","C1R","P00736"
"Q6NUK1","SCMC1_HUMAN","SLC25A24","Q6NUK1"
"Q9NP97","DLRB1_HUMAN","DYNLRB1","Q9NP97"
"P26599","PTBP1_HUMAN","PTBP1","P26599"
"Q13162","PRDX4_HUMAN","PRDX4","Q13162"
"Q06033","ITIH3_HUMAN","ITIH3","Q06033"
"P17693","HLAG_HUMAN","HLA-G","P17693"
"Q00577","PURA_HUMAN","PURA","Q00577"
"P46783","RS10_HUMAN","RPS10","P46783"
"Q9HDC9","APMAP_HUMAN","APMAP","Q9HDC9"
"P13747","HLAE_HUMAN","HLA-E","P13747"
"Q86V97","KBTB6_HUMAN","KBTBD6","Q86V97"
"Q99895","CTRC_HUMAN","CTRC","Q99895"
"P12035;P35908;Q01546;Q5XKE5","K22E_HUMAN;K22O_HUMAN;K2C3_HUMAN;K2C79_HUMAN","KRT2;KRT3;KRT76;KRT79","P12035;Q5XKE5;P35908;Q01546"
"P82914","RT15_HUMAN","MRPS15","P82914"
"P00749","UROK_HUMAN","PLAU","P00749"
"Q99538","LGMN_HUMAN","LGMN","Q99538"
"Q96JG6","VPS50_HUMAN","VPS50","Q96JG6"
"P52294","IMA5_HUMAN","KPNA1","P52294"
"O60684","IMA7_HUMAN","KPNA6","O60684"
"P48544","KCNJ5_HUMAN","KCNJ5","P48544"
"P06737;P11217","PYGL_HUMAN;PYGM_HUMAN","PYGL;PYGM","P06737;P11217"
"Q9C0F0","ASXL3_HUMAN","ASXL3","Q9C0F0"
"O75934","SPF27_HUMAN","BCAS2","O75934"
"Q9UM47","NOTC3_HUMAN","NOTCH3","Q9UM47"
"P43694","GATA4_HUMAN","GATA4","P43694"
"Q96I51","RCC1L_HUMAN","RCC1L","Q96I51"
"Q93097","WNT2B_HUMAN","WNT2B","Q93097"
"Q9GZS9","CHST5_HUMAN","CHST5","Q9GZS9"
"Q96DA6","TIM14_HUMAN","DNAJC19","Q96DA6"
"O95816","BAG2_HUMAN","BAG2","O95816"
"O00505;O00629","IMA3_HUMAN;IMA4_HUMAN","KPNA3;KPNA4","O00505;O00629"
"Q96MM6","HS12B_HUMAN","HSPA12B","Q96MM6"
"O60684;P52294","IMA5_HUMAN;IMA7_HUMAN","KPNA1;KPNA6","O60684;P52294"
"Q6UWH4","GAK1B_HUMAN","GASK1B","Q6UWH4"
"Q9UN76","S6A14_HUMAN","SLC6A14","Q9UN76"
"P57740","NU107_HUMAN","NUP107","P57740"
"P54274","TERF1_HUMAN","TERF1","P54274"
"Q86VB7","C163A_HUMAN","CD163","Q86VB7"
"Q9P253","VPS18_HUMAN","VPS18","Q9P253"
"Q9BRZ2","TRI56_HUMAN","TRIM56","Q9BRZ2"
"Q6P597;Q9NSK0","KLC3_HUMAN;KLC4_HUMAN","KLC3;KLC4","Q6P597;Q9NSK0"
"Q9H1Y0","ATG5_HUMAN","ATG5","Q9H1Y0"
"P01266","THYG_HUMAN","TG","P01266"
"Q14643","ITPR1_HUMAN","ITPR1","Q14643"
"A8MXV4","NUD19_HUMAN","NUDT19","A8MXV4"
"Q9NVS9","PNPO_HUMAN","PNPO","Q9NVS9"
"P50758","VE1_HPV20","E1","P50758"
"Q86YB8","ERO1B_HUMAN","ERO1B","Q86YB8"
"P23258","TBG1_HUMAN","TUBG1","P23258"
"P27482","CALL3_HUMAN","CALML3","P0DP23;P27482;P0DP24;P0DP25"
"Q17RN3","FA98C_HUMAN","FAM98C","Q17RN3"
"O75369;Q14315","FLNB_HUMAN;FLNC_HUMAN","FLNB;FLNC","Q14315;O75369"
"Q07817","B2CL1_HUMAN","BCL2L1","Q07817"
"Q8NC51","PAIRB_HUMAN","SERBP1","Q8NC51"
"Q8TDQ7","GNPI2_HUMAN","GNPDA2","Q8TDQ7"
"Q9BTY2","FUCO2_HUMAN","FUCA2","Q9BTY2"
"P49585","PCY1A_HUMAN","PCYT1A","P49585"
"Q9NXC5","MIO_HUMAN","MIOS","Q9NXC5"
"P08631","HCK_HUMAN","HCK","P08631"
"Q9ZMW4","DNAK_HELPJ","dnaK","B5Z9P0;B6JPL0;Q1CV46;Q9ZMW4;P55994;B2URT8"
"Q9Y2X3","NOP58_HUMAN","NOP58","Q9Y2X3"
"P39748","FEN1_HUMAN","FEN1","P39748"
"O75880","SCO1_HUMAN","SCO1","O75880"
"Q9BY43","CHM4A_HUMAN","CHMP4A","Q9BY43"
"P63172","DYLT1_HUMAN","DYNLT1","P63172"
"P32456;Q96PP8","GBP2_HUMAN;GBP5_HUMAN","GBP2;GBP5","Q96PP8;P32456"
"Q5FBB7","SGO1_HUMAN","SGO1","Q5FBB7"
"Q9HBI0","PARVG_HUMAN","PARVG","Q9HBI0"
"O75131","CPNE3_HUMAN","CPNE3","O75131"
"Q9C0A1","ZFHX2_HUMAN","ZFHX2","Q9C0A1"
"Q92552","RT27_HUMAN","MRPS27","Q92552"
"B5Z9S9;B6JPQ2;Q1CV03;Q9ZMS6","ENO_HELP2;ENO_HELPG;ENO_HELPH;ENO_HELPJ","eno","B6JPQ2;B2URY4;Q9ZMS6;P48285;B5Z9S9;Q1CV03"
"Q9H444","CHM4B_HUMAN","CHMP4B","Q9H444"
"Q99615","DNJC7_HUMAN","DNAJC7","Q99615"
"Q9NTJ3","SMC4_HUMAN","SMC4","Q9NTJ3"
"P15169","CBPN_HUMAN","CPN1","P15169"
"P19878","NCF2_HUMAN","NCF2","P19878;Q15776"
"O75351;Q9UN37","VPS4A_HUMAN;VPS4B_HUMAN","VPS4A;VPS4B","Q9UN37;O75351"
"O00400","ACATN_HUMAN","SLC33A1","O00400"
"Q96C01","F136A_HUMAN","FAM136A","Q96C01"
"O00408","PDE2A_HUMAN","PDE2A","O00408"
"Q9Y4A5","TRRAP_HUMAN","TRRAP","Q9Y4A5"
"Q9P0J7","KCMF1_HUMAN","KCMF1","Q9P0J7"
"P68400;Q8NEV1","CSK21_HUMAN;CSK23_HUMAN","CSNK2A1;CSNK2A3","P68400;Q8NEV1"
"Q9Y6K8","KAD5_HUMAN","AK5","Q9Y6K8"
"P12268;P20839","IMDH1_HUMAN;IMDH2_HUMAN","IMPDH1;IMPDH2","P12268;P20839"
"Q9NRR5;Q9UHD9;Q9UMX0","UBQL1_HUMAN;UBQL2_HUMAN;UBQL4_HUMAN","UBQLN1;UBQLN2;UBQLN4","Q9NRR5;Q9UMX0;Q9UHD9"
"P0DJI8;P0DJI9","SAA1_HUMAN;SAA2_HUMAN","SAA1;SAA2","P0DJI8;P0DJI9"
"Q5T2W1","NHRF3_HUMAN","PDZK1","Q5T2W1"
"O14815","CAN9_HUMAN","CAPN9","O14815"
"Q9BQ61","TRIR_HUMAN","TRIR","Q9BQ61"
"P48634","PRC2A_HUMAN","PRRC2A","P48634"
"Q86WN1","FCSD1_HUMAN","FCHSD1","Q86WN1"
"O94812","BAIP3_HUMAN","BAIAP3","O94812"
"Q9BQ13","KCD14_HUMAN","KCTD14","Q9BQ13"
"O95436","NPT2B_HUMAN","SLC34A2","O95436"
"P49458","SRP09_HUMAN","SRP9","P49458"
"Q8NBA8","DTWD2_HUMAN","DTWD2","Q8NBA8"
"P20020;P23634;Q16720","AT2B1_HUMAN;AT2B3_HUMAN;AT2B4_HUMAN","ATP2B1;ATP2B3;ATP2B4","Q16720;P23634;P20020"
"P41240","CSK_HUMAN","CSK","P41240"
"P41218","MNDA_HUMAN","MNDA","P41218"
"Q6PCB7","S27A1_HUMAN","SLC27A1","Q6PCB7"
"Q9BYZ8","REG4_HUMAN","REG4","Q9BYZ8"
"Q96PC5;Q96RT6","CTGE2_HUMAN;MIA2_HUMAN","CTAGE1;MIA2","Q96RT6;Q96PC5"
"Q9BWF3","RBM4_HUMAN","RBM4","Q9BWF3;Q9BQ04"
"P25774","CATS_HUMAN","CTSS","P25774"
"Q13938","CAYP1_HUMAN","CAPS","Q13938"
"Q9H9J2","RM44_HUMAN","MRPL44","Q9H9J2"
"Q14894","CRYM_HUMAN","CRYM","Q14894"
"P01137","TGFB1_HUMAN","TGFB1","P01137"
"Q9P2E7","PCD10_HUMAN","PCDH10","Q9P2E7"
"Q15631","TSN_HUMAN","TSN","Q15631"
"Q9HD26","GOPC_HUMAN","GOPC","Q9HD26"
"Q8NBJ9","SIDT2_HUMAN","SIDT2","Q8NBJ9"
"Q969W1","ZDH16_HUMAN","ZDHHC16","Q969W1"
"P24071","FCAR_HUMAN","FCAR","P24071"
"Q5TEC6","H3PS2_HUMAN","H3-2","Q5TEC6"
"Q9P016","THYN1_HUMAN","THYN1","Q9P016"
"Q86VQ3","TXND2_HUMAN","TXNDC2","Q86VQ3"
"P82932","RT06_HUMAN","MRPS6","P82932"
"Q8IVN3","MSTN1_HUMAN","MUSTN1","Q8IVN3"
"Q9Y3A6","TMED5_HUMAN","TMED5","Q9Y3A6"
"P62701","RS4X_HUMAN","RPS4X","P62701"
"P22090","RS4Y1_HUMAN","RPS4Y1","P22090;Q8TD47"
"Q13153","PAK1_HUMAN","PAK1","Q13153"
"Q13505","MTX1_HUMAN","MTX1","Q13505"
"Q56VL3","OCAD2_HUMAN","OCIAD2","Q56VL3"
"P11441","UBL4A_HUMAN","UBL4A","P11441"
"P25208","NFYB_HUMAN","NFYB","P25208"
"Q8NF37","PCAT1_HUMAN","LPCAT1","Q8NF37"
"A6NHL2;P68366;Q9BQE3;Q9NY65","TBA1C_HUMAN;TBA4A_HUMAN;TBA8_HUMAN;TBAL3_HUMAN","TUBA1C;TUBA4A;TUBA8;TUBAL3","Q71U36;Q9NY65;Q9BQE3;P0DPH7;P68366;A6NHL2;P0DPH8;P68363"
"Q86XK7","VSIG1_HUMAN","VSIG1","Q86XK7"
"O43181","NDUS4_HUMAN","NDUFS4","O43181"
"Q96RR1","PEO1_HUMAN","TWNK","Q96RR1"
"P15090","FABP4_HUMAN","FABP4","P15090"
"Q9ULV0","MYO5B_HUMAN","MYO5B","Q9ULV0"
"Q13610","PWP1_HUMAN","PWP1","Q13610"
"Q53FA7","QORX_HUMAN","TP53I3","Q53FA7"
"Q14938","NFIX_HUMAN","NFIX","Q14938"
"O00712","NFIB_HUMAN","NFIB","Q12857;O00712"
"P67809","YBOX1_HUMAN","YBX1","P67809"
"P05162","LEG2_HUMAN","LGALS2","P05162"
"P17516;P42330;P52895;Q04828","AK1C1_HUMAN;AK1C2_HUMAN;AK1C3_HUMAN;AK1C4_HUMAN","AKR1C1;AKR1C2;AKR1C3;AKR1C4","P17516;P52895;P42330;Q04828"
"P51784","UBP11_HUMAN","USP11","P51784"
"P06753;P07951;P67936","TPM2_HUMAN;TPM3_HUMAN;TPM4_HUMAN","TPM2;TPM3;TPM4","P06753;P07951;P67936"
"P11388","TOP2A_HUMAN","TOP2A","P11388"
"P57071","PRD15_HUMAN","PRDM15","P57071"
"Q9UK76","JUPI1_HUMAN","JPT1","Q9UK76"
"C9JRZ8;O60218","AK1BA_HUMAN;AK1BF_HUMAN","AKR1B10;AKR1B15","C9JRZ8;O60218"
"P19105;P24844","ML12A_HUMAN;MYL9_HUMAN","MYL12A;MYL9","P19105;O14950;P24844"
"Q14320","FA50A_HUMAN","FAM50A","Q14320"
"P51116;Q06787","FMR1_HUMAN;FXR2_HUMAN","FMR1;FXR2","P51116;Q06787"
"Q9ULC3","RAB23_HUMAN","RAB23","Q9ULC3"
"O95825","QORL1_HUMAN","CRYZL1","O95825"
"P63241","IF5A1_HUMAN","EIF5A","P63241"
"O76070","SYUG_HUMAN","SNCG","O76070"
"P23528;Q9Y281","COF1_HUMAN;COF2_HUMAN","CFL1;CFL2","P23528;Q9Y281"
"P16112","PGCA_HUMAN","ACAN","P16112"
"P08567","PLEK_HUMAN","PLEK","P08567"
"Q9UHG3","PCYOX_HUMAN","PCYOX1","Q9UHG3"
"P50150","GBG4_HUMAN","GNG4","P50150"
"P10606","COX5B_HUMAN","COX5B","P10606"
"P78417","GSTO1_HUMAN","GSTO1","P78417"
"Q08357","S20A2_HUMAN","SLC20A2","Q08357"
"Q92609","TBCD5_HUMAN","TBC1D5","Q92609"
"Q96BY6","DOC10_HUMAN","DOCK10","Q96BY6"
"P35579;P35580;P35749;Q7Z406","MYH10_HUMAN;MYH11_HUMAN;MYH14_HUMAN;MYH9_HUMAN","MYH10;MYH11;MYH14;MYH9","P35580;P35749;Q7Z406;P35579"
"P07900;P08238;Q58FF6","H90B4_HUMAN;HS90A_HUMAN;HS90B_HUMAN","HSP90AA1;HSP90AB1;HSP90AB4P","P08238;Q58FF7;P07900;Q58FF6"
"P07900;P08238","HS90A_HUMAN;HS90B_HUMAN","HSP90AA1;HSP90AB1","P08238;Q58FF7;P07900"
"P04844","RPN2_HUMAN","RPN2","P04844"
"Q8TAE6","PP14C_HUMAN","PPP1R14C","Q8TAE6"
"P10645","CMGA_HUMAN","CHGA","P10645"
"Q9P1Y6","PHRF1_HUMAN","PHRF1","Q9P1Y6"
"P09651","ROA1_HUMAN","HNRNPA1","P09651;Q32P51"
"P51991","ROA3_HUMAN","HNRNPA3","P51991"
"P09651;P22626","ROA1_HUMAN;ROA2_HUMAN","HNRNPA1;HNRNPA2B1","P22626;P09651;Q32P51;A0A2R8Y4L2"
"P01298","PAHO_HUMAN","PPY","P01298"
"Q8WXX0","DYH7_HUMAN","DNAH7","Q8WXX0"
"P09871","C1S_HUMAN","C1S","P09871"
"Q99567","NUP88_HUMAN","NUP88","Q99567"
"Q7Z2X4","PCLI1_HUMAN","PID1","Q7Z2X4"
"P16989;P67809;Q9Y2T7","YBOX1_HUMAN;YBOX2_HUMAN;YBOX3_HUMAN","YBX1;YBX2;YBX3","Q9Y2T7;P16989;P67809"
"P16989;P67809","YBOX1_HUMAN;YBOX3_HUMAN","YBX1;YBX3","P16989;P67809"
"P49888","ST1E1_HUMAN","SULT1E1","P49888"
"Q8N4H5","TOM5_HUMAN","TOMM5","Q8N4H5"
"P04003","C4BPA_HUMAN","C4BPA","P04003"
"P13686","PPA5_HUMAN","ACP5","P13686"
"Q86UE4","LYRIC_HUMAN","MTDH","Q86UE4"
"P11226","MBL2_HUMAN","MBL2","P11226"
"O95497","VNN1_HUMAN","VNN1","O95497"
"Q13526","PIN1_HUMAN","PIN1","Q13526"
"P07197","NFM_HUMAN","NEFM","P07197"
"P28845","DHI1_HUMAN","HSD11B1","P28845"
"P82675","RT05_HUMAN","MRPS5","P82675"
"Q9Y2X7","GIT1_HUMAN","GIT1","Q9Y2X7"
"P51159","RB27A_HUMAN","RAB27A","P51159"
"Q5U651","RAIN_HUMAN","RASIP1","Q5U651"
"Q86UK7","ZN598_HUMAN","ZNF598","Q86UK7"
"P43307","SSRA_HUMAN","SSR1","P43307"
"Q9NYF8;Q9Y2W1","BCLF1_HUMAN;TR150_HUMAN","BCLAF1;THRAP3","Q9Y2W1;Q9NYF8"
"O00299","CLIC1_HUMAN","CLIC1","O00299"
"Q9UHD9;Q9UMX0","UBQL1_HUMAN;UBQL2_HUMAN","UBQLN1;UBQLN2","Q9UMX0;Q9UHD9"
"Q13126","MTAP_HUMAN","MTAP","Q13126"
"Q969G5","CAVN3_HUMAN","CAVIN3","Q969G5"
"Q01628","IFM3_HUMAN","IFITM3","Q01628"
"O43704","ST1B1_HUMAN","SULT1B1","O43704"
"O95613","PCNT_HUMAN","PCNT","O95613"
"P30837","AL1B1_HUMAN","ALDH1B1","P30837"
"P84098","RL19_HUMAN","RPL19","P84098"
"Q8TCT9","HM13_HUMAN","HM13","Q8TCT9"
"Q9GZN8","CT027_HUMAN","C20orf27","Q9GZN8"
"Q9BYG3","MK67I_HUMAN","NIFK","Q9BYG3"
"P08559","ODPA_HUMAN","PDHA1","P29803;P08559"
"Q9C0D6","FHDC1_HUMAN","FHDC1","Q9C0D6"
"P42574","CASP3_HUMAN","CASP3","P42574"
"P31943","HNRH1_HUMAN","HNRNPH1","P31943"
"Q9UHK6","AMACR_HUMAN","AMACR","Q9UHK6"
"O15212","PFD6_HUMAN","PFDN6","O15212"
"P02533;P08727;Q04695","K1C14_HUMAN;K1C17_HUMAN;K1C19_HUMAN","KRT14;KRT17;KRT19","P08727;P02533;Q04695"
"Q9Y6B6","SAR1B_HUMAN","SAR1B","Q9Y6B6"
"P84157","MXRA7_HUMAN","MXRA7","P84157"
"Q9H3M0","KCNF1_HUMAN","KCNF1","Q9H3M0"
"P42766","RL35_HUMAN","RPL35","P42766"
"Q9NX08","COMD8_HUMAN","COMMD8","Q9NX08"
"Q9Y3U8","RL36_HUMAN","RPL36","Q9Y3U8"
"Q92597","NDRG1_HUMAN","NDRG1","Q92597"
"P08185","CBG_HUMAN","SERPINA6","P08185"
"Q8N766","EMC1_HUMAN","EMC1","Q8N766"
"P53801","PTTG_HUMAN","PTTG1IP","P53801"
"Q8N490","PNKD_HUMAN","PNKD","Q8N490"
"Q01629","IFM2_HUMAN","IFITM2","Q01629"
"Q01954","BNC1_HUMAN","BNC1","Q01954"
"P01857","IGHG1_HUMAN","IGHG1","P01857"
"O00193","SMAP_HUMAN","SMAP","O00193"
"Q05315","LEG10_HUMAN","CLC","Q05315"
"P43405","KSYK_HUMAN","SYK","P43405"
"P16298;Q08209","PP2BA_HUMAN;PP2BB_HUMAN","PPP3CA;PPP3CB","P16298;Q08209"
"P02775","CXCL7_HUMAN","PPBP","P02775"
"P61254","RL26_HUMAN","RPL26","P61254"
"Q0JRZ9","FCHO2_HUMAN","FCHO2","Q0JRZ9"
"Q13287","NMI_HUMAN","NMI","Q13287"
"Q15031","SYLM_HUMAN","LARS2","Q15031"
"O75157;Q15714;Q9Y3Q8","T22D1_HUMAN;T22D2_HUMAN;T22D4_HUMAN","TSC22D1;TSC22D2;TSC22D4","O75157;Q9Y3Q8;Q15714"
"Q15714","T22D1_HUMAN","TSC22D1","O75157;Q15714"
"P25490","TYY1_HUMAN","YY1","P25490"
"P11836","CD20_HUMAN","MS4A1","P11836"
"Q8TAW3","ZN671_HUMAN","ZNF671","Q8TAW3"
"P62820;Q92928;Q9H0U4","RAB1A_HUMAN;RAB1B_HUMAN;RAB1C_HUMAN","RAB1A;RAB1B;RAB1C","P62820;Q9H0U4;Q92928"
"Q9H0Q0","CYRIA_HUMAN","CYRIA","Q9H0Q0"
"Q13084","RM28_HUMAN","MRPL28","Q13084"
"Q96L92","SNX27_HUMAN","SNX27","Q96L92"
"Q9UP83","COG5_HUMAN","COG5","Q9UP83"
"P00750","TPA_HUMAN","PLAT","P00750"
"P54803","GALC_HUMAN","GALC","P54803"
"Q96EC8","YIPF6_HUMAN","YIPF6","Q96EC8"
"Q13449","LSAMP_HUMAN","LSAMP","Q13449"
"Q8N1Q1","CAH13_HUMAN","CA13","Q8N1Q1"
"P18031","PTN1_HUMAN","PTPN1","P18031"
"O94760;O95865","DDAH1_HUMAN;DDAH2_HUMAN","DDAH1;DDAH2","O95865;O94760"
"P02654","APOC1_HUMAN","APOC1","P02654"
"O15400","STX7_HUMAN","STX7","O15400"
"P14625","ENPL_HUMAN","HSP90B1","P14625;Q58FF3"
"Q01105","SET_HUMAN","SET","Q01105;P0DME0"
"A0A0B4J2D5;P0DPI2","GAL3A_HUMAN;GAL3B_HUMAN","GATD3A;GATD3B","P0DPI2;A0A0B4J2D5"
"Q9NYG2","ZDHC3_HUMAN","ZDHHC3","Q9NYG2"
"Q7Z7G8","VP13B_HUMAN","VPS13B","Q7Z7G8"
"Q2TAL8","QRIC1_HUMAN","QRICH1","Q2TAL8"
"Q13427","PPIG_HUMAN","PPIG","Q13427"
"P0CG30","GSTT2_HUMAN","GSTT2B","P0CG29;P0CG30"
"O43683","BUB1_HUMAN","BUB1","O43683"
"O60231","DHX16_HUMAN","DHX16","O60231"
"Q9UBG3","CRNN_HUMAN","CRNN","Q9UBG3"
"Q9HBL7","PLRKT_HUMAN","PLGRKT","Q9HBL7"
"P58546","MTPN_HUMAN","MTPN","P58546"
"O14896","IRF6_HUMAN","IRF6","O14896"
"P48507","GSH0_HUMAN","GCLM","P48507"
